id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image
2276,89512,1300张大提悬挂式抽纸卫生纸底部抽面巾纸擦手纸巾整箱实惠批,https://img.alicdn.com/bao/uploaded/O1CN01ZTkfXw1NLmXMEmvtg_!!6000000001554-2-yinhe.png,白木香,5.11,官方8.5折,洗护清洁剂/卫生巾/纸/香薰,1
42136,61305,2300张20大提悬挂纸巾抽纸家用卫生纸餐巾纸面巾纸专用厕纸整箱批,https://img.alicdn.com/bao/uploaded/O1CN01zLeIPQ22KluW2vs8p_!!6000000007102-0-yinhe.jpg,蓝猫(纸张),6.5,,洗护清洁剂/卫生巾/纸/香薰,1
108917,,COACH/蔻驰奥莱男士经典标志拉链卡包老花,https://img.alicdn.com/bao/uploaded/O1CN01ApMW041Letmp9L1WH_!!6000000001325-0-yinhe.jpg,COACH/蔻驰,560.0,,箱包皮具/热销女包/男包,1
1563697,102386,【高圆圆同款】FERRAGAMO菲拉格慕女士Ferragamo Soft-bag单肩包,https://img.alicdn.com/bao/uploaded/O1CN01N1GVwE1U3Bmw3muM8_!!6000000002461-0-yinhe.jpg,FERRAGAMO/菲拉格慕,19900.0,,箱包皮具/热销女包/男包,1
64857,,猎璞军绿色休闲裤男生夏季新款宽松纯棉工装长裤高街直筒男士裤子,https://img.alicdn.com/bao/uploaded/O1CN01uxhmpv1ScKrsHRjfj_!!6000000002267-0-yinhe.jpg,猎璞,59.9,,男装,1
1545520,80548,雅戈尔西服秋季新款男士官方商务休闲婚庆羊毛弹力西装上衣外套男,https://img.alicdn.com/bao/uploaded/O1CN019nagHb1EsucnqEb0C_!!6000000000408-0-yinhe.jpg,Youngor/雅戈尔,1311.2,1件8折,男装,1
45710,,The Blender【GIGI推荐】25夏季方领纯色带胸垫内衣女背心式套装,https://img.alicdn.com/bao/uploaded/O1CN01nQCDf71Wn6XCBn97q_!!6000000002832-0-yinhe.jpg,Theblender,148.42,1件9.8折,女士内衣/男士内衣/家居服,1
1558567,102386,BOSS博斯 男士经典款弹力羊毛混纺商务修身西服外套夹克,https://img.alicdn.com/bao/uploaded/i3/2154816055/O1CN01IXySQe1ubEzlQtHpO_!!2-item_pic.png,BOSS Hugo Boss,5200.0,,男装,1
1235847,89512,红蜻蜓男鞋2025春夏新款户外徒步登山鞋透气耐磨运动增高旅游鞋男,https://img.alicdn.com/bao/uploaded/O1CN016MvXgY24hKeJYhSFF_!!6000000007422-0-yinhe.jpg,REDDRAGONFLY/红蜻蜓,226.0,满200减10,流行男鞋,1
1563573,102386,ECCO爱步男鞋德训鞋秋 经典时尚百搭舒适小白鞋男 柔酷零点537764,https://img.alicdn.com/bao/uploaded/O1CN01befgMU23TIrpkTBIk_!!6000000007256-0-yinhe.jpg,Ecco/爱步,1639.0,满1599减120,流行男鞋,1
78544,,文胸内衣女大胸显小薄款调整收副乳软钢圈聚拢防下垂显瘦夏季薄杯,https://img.alicdn.com/bao/uploaded/O1CN01eR01RX1Ld4FSQqVqh_!!6000000001321-0-yinhe.jpg,爱黛,109.0,,女士内衣/男士内衣/家居服,1
1565495,102386,【秋季新品】MARC JACOBS/莫杰 MJ 皮革经典低帮休闲运动鞋,https://img.alicdn.com/bao/uploaded/O1CN01NRtyqV1vLVGB0Wear_!!6000000006156-2-yinhe.png,Marc Jacobs/莫杰,2550.0,,女鞋,1
26088,110046,政府补贴15%|梦百合0压深睡枕pro记忆棉枕头护颈椎助睡眠专用枕芯,https://img.alicdn.com/bao/uploaded/O1CN01EwJXDQ1kdOtAlLtu0_!!6000000004706-0-yinhe.jpg,梦百合,268.0,补贴200元,床上用品,1
82190,,金宁防火阻燃地毯b1级商用灰色红色舞台酒店办公室工地检测过消防,https://img.alicdn.com/bao/uploaded/i4/2207395276106/O1CN018n86cd1uybFMXWPIg_!!2-item_pic.png,金宁（居家布艺）,5.5,满8减3,居家布艺,1
